Name,Status,Price,Note,Image,Link
Converse Unisex Chuck Taylor All Star Low Top Sneaker Shoe 100% Original New,Brand New,"1,627,674.42 VND",,https://i.ebayimg.com/thumbs/images/g/AeEAAOSwlMxh1U0W/s-l300.jpg,https://www.ebay.com/itm/294690896514?hash=item449cf23a82:g:AeEAAOSwlMxh1U0W&amdata=enc%3AAQAIAAAAwIs3U4xZAnxWI7JyzFJuPcHX8zxGnONQeOZwv%2BhHJxDuU%2B%2Fxw6j%2FHqFtT74PXyOKWegh3gWydcZjnCBSfCNQhGN2T3ykeLDmqRq0T6FG%2F0ebz1fE6Oruq7KpTTqW92GGn9597R0%2FllsZm1sPyQcNDKa3cNsUg5SKQj9cTYczJaDsVPrDCKFQ3HQCWx0y5wy%2FdJZ%2BqU%2F1CdGqORkVOmg5MC760iE%2B%2FIYBXuInZHIkk1Nm6SRZoFoACK5prR3gFiwOXA%3D%3D%7Ctkp%3ABk9SR5ja3oCNYg
New CONVERSE All Star Chuck Taylor Hi Top Sneaker triple black Mens all sizes,Brand New,"2,092,790.70 VND",,https://i.ebayimg.com/thumbs/images/g/hhwAAOSwVrta0Nht/s-l300.jpg,https://www.ebay.com/itm/222922597685?hash=item33e738e535:g:hhwAAOSwVrta0Nht&amdata=enc%3AAQAIAAAA4GX%2F%2B4flgz6qm7%2BNaO2ifleR%2FitAKhWs1eYD3TarkpBk%2BVUFVFSaou5P5xD0t0mNXxGe0%2BpQZJiyPU9dhjk5Mbm2d%2Btadc1PuASj%2BnRtgGzWqYk%2B9f1EsghnKq%2Fcy5DpwfFz0puiC5iCfcF%2FtaKERL2Yngz5TnOsWrcmaUGj9KrdY0f5%2FL899xCiipZpQ9u4QTWcmxNlezITaLNF0jvvXlilF1rnnJQOvFHrE%2BYoWkOOY080EiaHmsm2a9Pnn3xURgZpcmFTXlbxEEWcsi0QGJ34cjTZE4IAxdLTiHQ14c%2Fh%7Ctkp%3ABk9SR5ja3oCNYg
Converse Mens Ladies Boys Girls All Star Low Tops  Sneakers Black Trainers Shoes,Brand New,"996,638.09 VND to 1,144,341.28 VND",,https://i.ebayimg.com/thumbs/images/g/R-8AAOSwLfxeLrQ5/s-l300.jpg,https://www.ebay.com/itm/254752237261?hash=item3b506aa6cd:g:R-8AAOSwLfxeLrQ5&amdata=enc%3AAQAIAAAA4AIHYx66hWDddCIDcckWaBm%2FXDuEkW5krcG9rgt86wlGagHW5N66xbhdC0kSHJD3zPBG2jLGgoineQQzq9PhUCwIdNZk6LD6HLW3eXgPxOAODXZXYlrEp%2FOlqRVeXdYN32EIfu2dJ8bsqx2yqb1AyBSJ4Q%2FQpSe7c%2Fr%2FJPhJ6N31En8adU0fca7sQVVWrzvyBfMFXUrupryi1vE%2FVejZf11x%2BcmjlSepjMV9A7HK5bM2L8fQ3Ae5K7FHeqSiNhoCneV7Uvp7WrqHvAN0YAF%2BTjsW78%2F%2FUGRe%2FsVD7YFQKWap%7Ctkp%3ABk9SR5ja3oCNYg
Converse Jack Purcell OX White Black Men Women Unisex Casual Shoes 164225C,Brand New,"2,557,906.98 VND",,https://i.ebayimg.com/thumbs/images/g/O2UAAOSwb2lctTXN/s-l300.jpg,https://www.ebay.com/itm/293050571151?hash=item443b2cd98f:g:O2UAAOSwb2lctTXN&amdata=enc%3AAQAIAAAA4OrpY9C%2F6KBS9JZwgVz53J2tl%2F58WfNuS1Z8W8sNe6HsmSzfu1mikfURkHnl3JyzTm15BE7Urjr2s8MDn3NqPREWPP86Lxj6otihO5YNd3iFNK5Q4%2BYQrMFoaAjBxgf6Z35hzvVXDmB6NFqinEpHw%2Br8r30GebwtnjVm45CXdMImZt8tIGY8avXzPp3gX9NNXK6jK8cK1imxvaSZxDJ5XmYN9%2Fk0C08yV0rj35HaKUMGMruwlQdWUHE%2FhNe3k%2BYhbhEROuNAyQrizO2JX%2BHoiljTd4bDmhmeVnZttu30ZeRl%7Ctkp%3ABk9SR5ja3oCNYg
Converse Chuck Taylor All Star Unisex Sneaker Shoes 70 Gore-Tex Hi 169364C,Brand New,"1,369,059.19 VND to 1,493,541.72 VND",,https://i.ebayimg.com/thumbs/images/g/Ov8AAOSwVLRjKWT2/s-l300.jpg,https://www.ebay.com/itm/394250917645?hash=item5bcb2f970d:g:Ov8AAOSwVLRjKWT2&amdata=enc%3AAQAIAAAAwOa1IpLUMQZ2UsNWVVaRzE%2Flxt20lqmlwJcNJtyrLYcRW0LAaA%2FSY3f20409P%2B1yWpTIZ%2FuWWzV%2FgjMO8cgD369OjrejNemO7H3wqE8m7qm39BR6%2B4a%2Ft5uw%2FYlF2amN4F2flbQyqJcNvZXX09WX99Dc5znJ1voaMZWdCUapj5xZbsJ6a7sdRXBfaQ%2FjkVwZV0HpdFCQyjlNLpkgtxopf3oM38CnMxCRTultbIdv4SayXgC%2B6dVkvq68KcjLUIBb1g%3D%3D%7Ctkp%3ABk9SR5ja3oCNYg
Converse Chuck 70 High Summit Sage Green Men Unisex Casual Lifestyle A02756C,Brand New,"1,860,232.56 VND",,https://i.ebayimg.com/thumbs/images/g/9cEAAOSwRwhkGA88/s-l300.jpg,https://www.ebay.com/itm/295575518230?epid=7059069776&hash=item44d1ac7c16:g:9cEAAOSwRwhkGA88&amdata=enc%3AAQAIAAAAwOgRv0Fz56dYEUkZRmseUjRQj3S%2BIVjIbqn0oFK8Wp%2BQoSGaV%2Bo81Pa0CK6M%2FjjmZLcO8OT0CKnAQmYNhJWtjKgEYkfNvFdrK%2FMwdjnqhCqeiCvCccSfQQUVEJdsiweq0ewtDDJLE21FWUzAfzB5QagBHH05iP1arVxtuCDrqGxIOtl2wYTfOFx4xwFctYxs4Ia8W2b3N8VL8Gi4ox2eYzqAAKuFpiHC21uoiHmkgBFi3SSzhVAzwPA%2B1GFN2Ufs7g%3D%3D%7Ctkp%3ABk9SR5ja3oCNYg
Converse Utility Hi Explore Counter Climate Size 8 Mens Triple Black Shoes,Brand New,"1,464,883.72 VND",,https://i.ebayimg.com/thumbs/images/g/ZHAAAOSwJbJj~jSF/s-l300.jpg,https://www.ebay.com/itm/185795437724?hash=item2b4245649c:g:ZHAAAOSwJbJj~jSF&amdata=enc%3AAQAIAAAA4IH8%2BPQhui4rwPJVmiwV6TMcgAgpwo7WNAAR0R6Fr1OPxtVCuN5NyJoD4%2FTfXBoPLfjKgrworjtWB6bOikXdcH%2BZrZJVQbAkx0YTc4pJ2tZuDQIbYGLPbfCLkH96YgI29xoNZjr%2Br4RwJEmhnrWmULmpSa8ezBGbFoUzNnlVZVms6AA%2BaOGUoBl39lkkP5vqV0Ti%2BbONwnsaP64Sb76f0esx8%2FsZ%2BKTLucUj2ipbdeMfFc8zRyAJZeVVg4eI6o8kKnBAiJFBBdZgdWCJpJ9evKyxgQ5u2zdxwlCopMIGOGTg%7Ctkp%3ABk9SR5ja3oCNYg
Converse Men's Chuck 70 Canvas Black Low Top Shoes 162058C New in Box,Brand New,"1,627,674.42 VND",,https://i.ebayimg.com/thumbs/images/g/jX4AAOSwyY9ixY5e/s-l300.jpg,https://www.ebay.com/itm/304792011887?epid=20043983087&hash=item46f705046f:g:jX4AAOSwyY9ixY5e&amdata=enc%3AAQAIAAAAwH2J9rPEpOjKOT6YuV8zi6F6wAzE2WxYQF3g8CvspbE7VlTq5PZ5E5BeU%2FBhBQs%2BwrISyEfGelnII44TGNHjlLCN7T7bLnRxjXI%2BUJvLWBwg6XujvkXDYN5co4ts0XVblf6yiXr7a2KsLENbPtMUwqeQDhGcji%2FX9Ny4%2Fy1tZFQeNak3AglgrNNfYVgK4mpebsDRyvBST%2BjrbFacx5UsDd%2FuigoQVIJZOrg1aIDl02B9WjiGDiJaA83yyQ4xKzLs6A%3D%3D%7Ctkp%3ABk9SR5ja3oCNYg
Converse Run Star Motion CX Hi Top Sneakers Men's 13 Black White Gum Honey Shoes,New (Other),"2,325,348.84 VND",,https://i.ebayimg.com/thumbs/images/g/NwoAAOSwg2xkbvf8/s-l300.jpg,https://www.ebay.com/itm/115814684282?hash=item1af717d67a:g:NwoAAOSwg2xkbvf8&amdata=enc%3AAQAIAAAA4JLGzN5jwJQVHfMcU646mKtNSqMNU5R98kLGU8ZEK56qDJCqmgRjbEbOGXxu4T%2FGR7vRmgATEFhgtLMd0yZJKFOYBeyHekbFJTTotUVcfLylEqXeqsBVnYKWnmU5ihWo1hgQ2wESSQ1WvLIverzdVLHbEVtD0Y0YK6mNoF4%2B1rrANsGPSHG1k7F2o9%2BFOadFARaeWJ7U836DCzYfsHOu2D%2FC%2BleZ5eNwsfH6k3zjyg30gi691ujRcQKlu1WSnhRfifO3jDloXORncnUfX0XsIC0jkHa10tk3HFR0N0YMBd63%7Ctkp%3ABk9SR5ja3oCNYg
Converse Mid Top Faux Leather Street Boot Black White 171445C A00719C,Brand New,"1,720,527.16 VND",,https://i.ebayimg.com/thumbs/images/g/uvUAAOSwlzBkItaY/s-l300.jpg,https://www.ebay.com/itm/134509471694?hash=item1f5163a7ce:g:uvUAAOSwlzBkItaY&amdata=enc%3AAQAIAAAA4MTYKjPovjdWj942nPN3QY27KDcIoX1WA33uNM8Q4H5YgCqHIgdINR4swweRsH4xuNtBaOt53mtNIMgXbwVCuuDojbf6ICY1KCfbPLxuz88wv423jpZgNgxxDAk42NQTpEj74p5acy0VXWZe87srHTqqVjbeckhhbcUcsZxAKR2fFm22c1KofQI2xh3Czn0y%2BhuSwLt8A2GAEQYLt1fEiK2XqqvYSa4SlwsSMuC1UnDdn41GhIV7M2ZBC%2FtbbprVubpW6cQ2wiJXBSdY0PCdMIIGxgvWcd0zvKpXIwlyHjiD%7Ctkp%3ABk9SR5ra3oCNYg
Converse Chuck Taylor All Star x Peanuts One Star Snoopy Sneaker Shoes A01873C,Brand New,"1,244,576.60 VND to 1,493,541.72 VND",,https://i.ebayimg.com/thumbs/images/g/pJYAAOSwJCJjRcpo/s-l300.jpg,https://www.ebay.com/itm/394283667045?hash=item5bcd234e65:g:pJYAAOSwJCJjRcpo&amdata=enc%3AAQAIAAAAwFFfTTBFKmdlScFNFVTHjICwTF72qYDBM4qwZi%2BOHJ2oeB5F8VHBCQMgRAKpeORbFm8JI3zN4wjqQpM39FtGNbwPYtvexkoasenkIeVn%2FDpk6ryZ%2F4%2Bu5SbZxYtghC8%2BjkF9%2B2dUOWipBji0PtPXc2rzYyhXpsEa9MozmZ5Sk%2BTas4%2BDj6umzV37W0HNo0Whji%2FB4QhUcZbAaM3v57wEvMYjJRU3nDp%2Bv841ggTYU4EvU%2Bpu21LP4HzvlEXxK5qzqw%3D%3D%7Ctkp%3ABk9SR5ra3oCNYg
